op_name                                    inp_size   kernel_size   in channels  out channels  params(MBytes)   mults(M)    adds(M)     MFLOPS
SNB16_hardswish0__mul0                           14            -1           320           320           0.000      0.063      0.000      0.063
SNB16_conv1_fwd                                  14             7           320             1           0.031      0.768      0.753      1.521
SNB16_conv2_fwd                                   7             1           320           320           0.205      5.018      5.002     10.020
SNB16_hardswish1__plusscalar0                     7            -1           320           320           0.000      0.000      0.016      0.016
SNB16_hardswish1__clip                            7            -1           320           320           0.000      0.016      0.000      0.016
SNB16_hardswish1__divscalar0                      7            -1           320           320           0.000      0.016      0.000      0.016
SNB16_hardswish1__mul0                            7            -1           320           320           0.000      0.016      0.000      0.016
SNB16_se0_pool0_fwd                               7            -1           320             1           0.000      0.000      0.015      0.016
SNB16_se0_conv_squeeze_fwd                        1             1           320            80           0.051      0.026      0.026      0.051
SNB16_se0_relu0_fwd                               1            -1            80            80           0.000      0.000      0.000      0.000
SNB16_se0_conv_excitation_fwd                     1             1            80           320           0.052      0.026      0.026      0.051
SNB16_se0_hardsigmoid0__plusscalar0               1            -1           320           320           0.000      0.000      0.000      0.000
SNB16_se0_hardsigmoid0__clip                      1            -1           320           320           0.000      0.000      0.000      0.000
SNB16_se0_hardsigmoid0__divscalar0                1            -1           320           320           0.000      0.000      0.000      0.000
SNB17_conv0_fwd                                   7             1           320           384           0.246      6.021      6.002     12.023
SNB17_hardswish0__plusscalar0                     7            -1           384           384           0.000      0.000      0.019      0.019
SNB17_hardswish0__clip                            7            -1           384           384           0.000      0.019      0.000      0.019
SNB17_hardswish0__divscalar0                      7            -1           384           384           0.000      0.019      0.000      0.019
SNB17_hardswish0__mul0                            7            -1           384           384           0.000      0.019      0.000      0.019
SNB17_conv1_fwd                                   7             5           384             1           0.019      0.470      0.452      0.922
SNB17_conv2_fwd                                   7             1           384           320           0.246      6.021      6.005     12.027
SNB17_hardswish1__plusscalar0                     7            -1           320           320           0.000      0.000      0.016      0.016
SNB17_hardswish1__clip                            7            -1           320           320           0.000      0.016      0.000      0.016
SNB17_hardswish1__divscalar0                      7            -1           320           320           0.000      0.016      0.000      0.016
SNB17_hardswish1__mul0                            7            -1           320           320           0.000      0.016      0.000      0.016
SNB17_se0_pool0_fwd                               7            -1           320             1           0.000      0.000      0.015      0.016
SNB17_se0_conv_squeeze_fwd                        1             1           320            80           0.051      0.026      0.026      0.051
SNB17_se0_relu0_fwd                               1            -1            80            80           0.000      0.000      0.000      0.000
SNB17_se0_conv_excitation_fwd                     1             1            80           320           0.052      0.026      0.026      0.051
SNB17_se0_hardsigmoid0__plusscalar0               1            -1           320           320           0.000      0.000      0.000      0.000
SNB17_se0_hardsigmoid0__clip                      1            -1           320           320           0.000      0.000      0.000      0.000
SNB17_se0_hardsigmoid0__divscalar0                1            -1           320           320           0.000      0.000      0.000      0.000
SNB18_conv0_fwd                                   7             3           320             1           0.006      0.141      0.125      0.267
SNB18_conv1_fwd                                   7             1           320           320           0.205      5.018      5.002     10.020
SNB18_hardswish0__plusscalar0                     7            -1           320           320           0.000      0.000      0.016      0.016
SNB18_hardswish0__clip                            7            -1           320           320           0.000      0.016      0.000      0.016
SNB18_hardswish0__divscalar0                      7            -1           320           320           0.000      0.016      0.000      0.016
SNB18_hardswish0__mul0                            7            -1           320           320           0.000      0.016      0.000      0.016
SNB18_conv2_fwd                                   7             3           320             1           0.006      0.141      0.125      0.267
SNB18_conv3_fwd                                   7             1           320           320           0.205      5.018      5.002     10.020
SNB18_hardswish1__plusscalar0                     7            -1           320           320           0.000      0.000      0.016      0.016
SNB18_hardswish1__clip                            7            -1           320           320           0.000      0.016      0.000      0.016
SNB18_hardswish1__divscalar0                      7            -1           320           320           0.000      0.016      0.000      0.016
SNB18_hardswish1__mul0                            7            -1           320           320           0.000      0.016      0.000      0.016
SNB18_conv4_fwd                                   7             3           320             1           0.006      0.141      0.125      0.267
SNB18_conv5_fwd                                   7             1           320           320           0.205      5.018      5.002     10.020
SNB18_hardswish2__plusscalar0                     7            -1           320           320           0.000      0.000      0.016      0.016
SNB18_hardswish2__clip                            7            -1           320           320           0.000      0.016      0.000      0.016
SNB18_hardswish2__divscalar0                      7            -1           320           320           0.000      0.016      0.000      0.016
SNB18_hardswish2__mul0                            7            -1           320           320           0.000      0.016      0.000      0.016
SNB18_se0_pool0_fwd                               7            -1           320             1           0.000      0.000      0.015      0.016
SNB18_se0_conv_squeeze_fwd                        1             1           320            80           0.051      0.026      0.026      0.051
SNB18_se0_relu0_fwd                               1            -1            80            80           0.000      0.000      0.000      0.000
